,X (sequence),y (target)
0,"0.0094,0.0102,0.0021,0.0036,0,0.0096,0.01,0.0073,0.0015,0.0003,0.0056,0.0052",0.0048
1,"0.0102,0.0021,0.0036,0,0.0096,0.01,0.0073,0.0015,0.0003,0.0056,0.0052,0.0048",0.0148
2,"0.0021,0.0036,0,0.0096,0.01,0.0073,0.0015,0.0003,0.0056,0.0052,0.0048,0.0148",0.0317
3,"0.0036,0,0.0096,0.01,0.0073,0.0015,0.0003,0.0056,0.0052,0.0048,0.0148,0.0317",0.0308
4,"0,0.0096,0.01,0.0073,0.0015,0.0003,0.0056,0.0052,0.0048,0.0148,0.0317,0.0308",0.0289
5,"0.0096,0.01,0.0073,0.0015,0.0003,0.0056,0.0052,0.0048,0.0148,0.0317,0.0308,0.0289",0.0276
6,"0.01,0.0073,0.0015,0.0003,0.0056,0.0052,0.0048,0.0148,0.0317,0.0308,0.0289,0.0276",0.0297
7,"0.0073,0.0015,0.0003,0.0056,0.0052,0.0048,0.0148,0.0317,0.0308,0.0289,0.0276,0.0297",0.0238
8,"0.0015,0.0003,0.0056,0.0052,0.0048,0.0148,0.0317,0.0308,0.0289,0.0276,0.0297,0.0238",0.0439
9,"0.0003,0.0056,0.0052,0.0048,0.0148,0.0317,0.0308,0.0289,0.0276,0.0297,0.0238,0.0439",0.0513
10,"0.0056,0.0052,0.0048,0.0148,0.0317,0.0308,0.0289,0.0276,0.0297,0.0238,0.0439,0.0513",0.0498
11,"0.0052,0.0048,0.0148,0.0317,0.0308,0.0289,0.0276,0.0297,0.0238,0.0439,0.0513,0.0498",0.0556
12,"0.0048,0.0148,0.0317,0.0308,0.0289,0.0276,0.0297,0.0238,0.0439,0.0513,0.0498,0.0556",0.0398
13,"0.0148,0.0317,0.0308,0.0289,0.0276,0.0297,0.0238,0.0439,0.0513,0.0498,0.0556,0.0398",0.045
14,"0.0317,0.0308,0.0289,0.0276,0.0297,0.0238,0.0439,0.0513,0.0498,0.0556,0.0398,0.045",0.0448
15,"0.0308,0.0289,0.0276,0.0297,0.0238,0.0439,0.0513,0.0498,0.0556,0.0398,0.045,0.0448",0.0446
16,"0.0289,0.0276,0.0297,0.0238,0.0439,0.0513,0.0498,0.0556,0.0398,0.045,0.0448,0.0446",0.0404
17,"0.0276,0.0297,0.0238,0.0439,0.0513,0.0498,0.0556,0.0398,0.045,0.0448,0.0446,0.0404",0.0504
18,"0.0297,0.0238,0.0439,0.0513,0.0498,0.0556,0.0398,0.045,0.0448,0.0446,0.0404,0.0504",0.0517
19,"0.0238,0.0439,0.0513,0.0498,0.0556,0.0398,0.045,0.0448,0.0446,0.0404,0.0504,0.0517",0.0373
20,"0.0439,0.0513,0.0498,0.0556,0.0398,0.045,0.0448,0.0446,0.0404,0.0504,0.0517,0.0373",0.0481
21,"0.0513,0.0498,0.0556,0.0398,0.045,0.0448,0.0446,0.0404,0.0504,0.0517,0.0373,0.0481",0.0539
22,"0.0498,0.0556,0.0398,0.045,0.0448,0.0446,0.0404,0.0504,0.0517,0.0373,0.0481,0.0539",0.0441
23,"0.0556,0.0398,0.045,0.0448,0.0446,0.0404,0.0504,0.0517,0.0373,0.0481,0.0539,0.0441",0.0445
24,"0.0398,0.045,0.0448,0.0446,0.0404,0.0504,0.0517,0.0373,0.0481,0.0539,0.0441,0.0445",0.0334
25,"0.045,0.0448,0.0446,0.0404,0.0504,0.0517,0.0373,0.0481,0.0539,0.0441,0.0445,0.0334",0.0176
26,"0.0448,0.0446,0.0404,0.0504,0.0517,0.0373,0.0481,0.0539,0.0441,0.0445,0.0334,0.0176",0.0166
