,X_test (sequence),y_test
0,"0.7507,0.7188,0.7021,0.6589,0.6344,0.6235,0.5921,0.6043,0.5959,0.5853,0.5808,0.5766,0.5766,0.5654,0.5692,0.5696,0.5705,0.5609,0.5673,0.557,0.549,0.5615,0.5689,0.567,0.5628,0.5471,0.5519,0.5648,0.5564,0.5567,0.5557,0.5712,0.5638,0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155",0.7026
1,"0.7188,0.7021,0.6589,0.6344,0.6235,0.5921,0.6043,0.5959,0.5853,0.5808,0.5766,0.5766,0.5654,0.5692,0.5696,0.5705,0.5609,0.5673,0.557,0.549,0.5615,0.5689,0.567,0.5628,0.5471,0.5519,0.5648,0.5564,0.5567,0.5557,0.5712,0.5638,0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026",0.639
2,"0.7021,0.6589,0.6344,0.6235,0.5921,0.6043,0.5959,0.5853,0.5808,0.5766,0.5766,0.5654,0.5692,0.5696,0.5705,0.5609,0.5673,0.557,0.549,0.5615,0.5689,0.567,0.5628,0.5471,0.5519,0.5648,0.5564,0.5567,0.5557,0.5712,0.5638,0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639",0.6242
3,"0.6589,0.6344,0.6235,0.5921,0.6043,0.5959,0.5853,0.5808,0.5766,0.5766,0.5654,0.5692,0.5696,0.5705,0.5609,0.5673,0.557,0.549,0.5615,0.5689,0.567,0.5628,0.5471,0.5519,0.5648,0.5564,0.5567,0.5557,0.5712,0.5638,0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242",0.63
4,"0.6344,0.6235,0.5921,0.6043,0.5959,0.5853,0.5808,0.5766,0.5766,0.5654,0.5692,0.5696,0.5705,0.5609,0.5673,0.557,0.549,0.5615,0.5689,0.567,0.5628,0.5471,0.5519,0.5648,0.5564,0.5567,0.5557,0.5712,0.5638,0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63",0.6287
5,"0.6235,0.5921,0.6043,0.5959,0.5853,0.5808,0.5766,0.5766,0.5654,0.5692,0.5696,0.5705,0.5609,0.5673,0.557,0.549,0.5615,0.5689,0.567,0.5628,0.5471,0.5519,0.5648,0.5564,0.5567,0.5557,0.5712,0.5638,0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287",0.6069
6,"0.5921,0.6043,0.5959,0.5853,0.5808,0.5766,0.5766,0.5654,0.5692,0.5696,0.5705,0.5609,0.5673,0.557,0.549,0.5615,0.5689,0.567,0.5628,0.5471,0.5519,0.5648,0.5564,0.5567,0.5557,0.5712,0.5638,0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069",0.6364
7,"0.6043,0.5959,0.5853,0.5808,0.5766,0.5766,0.5654,0.5692,0.5696,0.5705,0.5609,0.5673,0.557,0.549,0.5615,0.5689,0.567,0.5628,0.5471,0.5519,0.5648,0.5564,0.5567,0.5557,0.5712,0.5638,0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069,0.6364",0.6248
8,"0.5959,0.5853,0.5808,0.5766,0.5766,0.5654,0.5692,0.5696,0.5705,0.5609,0.5673,0.557,0.549,0.5615,0.5689,0.567,0.5628,0.5471,0.5519,0.5648,0.5564,0.5567,0.5557,0.5712,0.5638,0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069,0.6364,0.6248",0.6351
9,"0.5853,0.5808,0.5766,0.5766,0.5654,0.5692,0.5696,0.5705,0.5609,0.5673,0.557,0.549,0.5615,0.5689,0.567,0.5628,0.5471,0.5519,0.5648,0.5564,0.5567,0.5557,0.5712,0.5638,0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069,0.6364,0.6248,0.6351",0.6351
10,"0.5808,0.5766,0.5766,0.5654,0.5692,0.5696,0.5705,0.5609,0.5673,0.557,0.549,0.5615,0.5689,0.567,0.5628,0.5471,0.5519,0.5648,0.5564,0.5567,0.5557,0.5712,0.5638,0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069,0.6364,0.6248,0.6351,0.6351",0.621
11,"0.5766,0.5766,0.5654,0.5692,0.5696,0.5705,0.5609,0.5673,0.557,0.549,0.5615,0.5689,0.567,0.5628,0.5471,0.5519,0.5648,0.5564,0.5567,0.5557,0.5712,0.5638,0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069,0.6364,0.6248,0.6351,0.6351,0.621",0.6268
12,"0.5766,0.5654,0.5692,0.5696,0.5705,0.5609,0.5673,0.557,0.549,0.5615,0.5689,0.567,0.5628,0.5471,0.5519,0.5648,0.5564,0.5567,0.5557,0.5712,0.5638,0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069,0.6364,0.6248,0.6351,0.6351,0.621,0.6268",0.6097
