,Tipe Model,Time Step,Epoch,Epochs Terlatih,Batch Size,RMSE,MAPE (%),Durasi (detik)
0,Baseline,60,50,50,32,6.2864,3.27,179.67
1,Tuning,30,50,50,32,6.1833,3.18,64.51
2,Tuning,30,50,50,64,6.7074,3.52,48.32
3,Tuning,30,75,73,32,5.7182,2.91,89.18
4,Tuning,30,75,75,64,5.9126,3.05,71.3
5,Tuning,30,100,42,32,6.626,3.44,57.96
6,Tuning,30,100,100,64,5.8597,3,92.37
7,Tuning,60,50,47,64,6.8334,3.65,81.62
8,Tuning,60,75,75,32,5.3872,2.75,261.73
9,Tuning,60,75,51,64,6.8538,3.68,96.91
10,Tuning,60,100,45,32,6.2607,3.27,143.83
11,Tuning,60,100,51,64,6.8538,3.68,94.2
