,Tipe Model,Time Step,Epoch,Epochs Terlatih,Batch Size,RMSE,MAPE (%),Durasi (detik)
0,Baseline,24,75,75,8,9.8963,5.5,71.26
1,Tuning,12,75,67,8,9.906,5.49,40.26
2,Tuning,12,75,75,16,9.9429,5.56,31.75
3,Tuning,12,100,63,8,10.0885,5.56,43.61
4,Tuning,12,100,76,16,9.9733,5.62,30.06
5,Tuning,12,125,68,8,9.9182,5.49,40.78
6,Tuning,12,125,83,16,10.0089,5.64,32.26
7,Tuning,24,75,75,16,10.1174,5.67,40.22
8,Tuning,24,100,77,8,9.8888,5.57,73.87
9,Tuning,24,100,91,16,9.9525,5.58,50.49
10,Tuning,24,125,73,8,9.9448,5.56,66.57
11,Tuning,24,125,105,16,9.9802,5.58,53.96
