,X_test (sequence),y_test
0,"0.4749,0.4991,0.5567,0.4835,0.5514,0.7574,0.8507,0.7893,0.4906,0.6776,0.7607,0.668",0.6247
1,"0.4991,0.5567,0.4835,0.5514,0.7574,0.8507,0.7893,0.4906,0.6776,0.7607,0.668,0.6247",0.4852
2,"0.5567,0.4835,0.5514,0.7574,0.8507,0.7893,0.4906,0.6776,0.7607,0.668,0.6247,0.4852",0.4028
3,"0.4835,0.5514,0.7574,0.8507,0.7893,0.4906,0.6776,0.7607,0.668,0.6247,0.4852,0.4028",0.4809
4,"0.5514,0.7574,0.8507,0.7893,0.4906,0.6776,0.7607,0.668,0.6247,0.4852,0.4028,0.4809",0.4968
5,"0.7574,0.8507,0.7893,0.4906,0.6776,0.7607,0.668,0.6247,0.4852,0.4028,0.4809,0.4968",0.472
6,"0.8507,0.7893,0.4906,0.6776,0.7607,0.668,0.6247,0.4852,0.4028,0.4809,0.4968,0.472",0.4991
7,"0.7893,0.4906,0.6776,0.7607,0.668,0.6247,0.4852,0.4028,0.4809,0.4968,0.472,0.4991",0.6259
8,"0.4906,0.6776,0.7607,0.668,0.6247,0.4852,0.4028,0.4809,0.4968,0.472,0.4991,0.6259",0.632
9,"0.6776,0.7607,0.668,0.6247,0.4852,0.4028,0.4809,0.4968,0.472,0.4991,0.6259,0.632",0.6669
10,"0.7607,0.668,0.6247,0.4852,0.4028,0.4809,0.4968,0.472,0.4991,0.6259,0.632,0.6669",0.6305
11,"0.668,0.6247,0.4852,0.4028,0.4809,0.4968,0.472,0.4991,0.6259,0.632,0.6669,0.6305",0.557
12,"0.6247,0.4852,0.4028,0.4809,0.4968,0.472,0.4991,0.6259,0.632,0.6669,0.6305,0.557",0.624
13,"0.4852,0.4028,0.4809,0.4968,0.472,0.4991,0.6259,0.632,0.6669,0.6305,0.557,0.624",0.6199
14,"0.4028,0.4809,0.4968,0.472,0.4991,0.6259,0.632,0.6669,0.6305,0.557,0.624,0.6199",0.5832
15,"0.4809,0.4968,0.472,0.4991,0.6259,0.632,0.6669,0.6305,0.557,0.624,0.6199,0.5832",0.5856
16,"0.4968,0.472,0.4991,0.6259,0.632,0.6669,0.6305,0.557,0.624,0.6199,0.5832,0.5856",0.5276
17,"0.472,0.4991,0.6259,0.632,0.6669,0.6305,0.557,0.624,0.6199,0.5832,0.5856,0.5276",0.5619
18,"0.4991,0.6259,0.632,0.6669,0.6305,0.557,0.624,0.6199,0.5832,0.5856,0.5276,0.5619",0.528
19,"0.6259,0.632,0.6669,0.6305,0.557,0.624,0.6199,0.5832,0.5856,0.5276,0.5619,0.528",0.5219
20,"0.632,0.6669,0.6305,0.557,0.624,0.6199,0.5832,0.5856,0.5276,0.5619,0.528,0.5219",0.5489
