,Tipe Model,Time Step,Epoch,Epochs Terlatih,Batch Size,RMSE,MAPE (%),Durasi (detik)
0,Baseline,12,100,45,2,14.4681,8.07,20.72
1,Tuning,6,100,72,2,13.4867,7.12,26.93
2,Tuning,6,100,65,4,14.4509,7.73,16.39
3,Tuning,6,125,75,2,13.4071,7.11,28.53
4,Tuning,6,125,76,4,14.401,7.6,18.7
5,Tuning,6,150,55,2,14.0047,7.39,21.37
6,Tuning,6,150,59,4,14.8078,8.03,16.51
7,Tuning,12,100,11,4,24.7088,15.63,6.27
8,Tuning,12,125,52,2,15.0232,8.84,23.13
9,Tuning,12,125,13,4,24.8265,15.7,6.52
10,Tuning,12,150,27,2,17.9441,10.23,17.17
11,Tuning,12,150,28,4,23.7658,15.44,10.75
