,X_train (sequence),y_train
0,"0.0111,0.0104,0.0108,0.011,0.0113,0.0123,0.0111,0.0127,0.0109,0.0093,0.0052,0.0043,0.0039,0.003,0,0.0042,0.0042,0.0049,0.0021,0.0042,0.0045,0.0014,0.0028,0.0022",0.0069
1,"0.0104,0.0108,0.011,0.0113,0.0123,0.0111,0.0127,0.0109,0.0093,0.0052,0.0043,0.0039,0.003,0,0.0042,0.0042,0.0049,0.0021,0.0042,0.0045,0.0014,0.0028,0.0022,0.0069",0.0104
2,"0.0108,0.011,0.0113,0.0123,0.0111,0.0127,0.0109,0.0093,0.0052,0.0043,0.0039,0.003,0,0.0042,0.0042,0.0049,0.0021,0.0042,0.0045,0.0014,0.0028,0.0022,0.0069,0.0104",0.0109
3,"0.011,0.0113,0.0123,0.0111,0.0127,0.0109,0.0093,0.0052,0.0043,0.0039,0.003,0,0.0042,0.0042,0.0049,0.0021,0.0042,0.0045,0.0014,0.0028,0.0022,0.0069,0.0104,0.0109",0.0089
4,"0.0113,0.0123,0.0111,0.0127,0.0109,0.0093,0.0052,0.0043,0.0039,0.003,0,0.0042,0.0042,0.0049,0.0021,0.0042,0.0045,0.0014,0.0028,0.0022,0.0069,0.0104,0.0109,0.0089",0.0094
5,"0.0123,0.0111,0.0127,0.0109,0.0093,0.0052,0.0043,0.0039,0.003,0,0.0042,0.0042,0.0049,0.0021,0.0042,0.0045,0.0014,0.0028,0.0022,0.0069,0.0104,0.0109,0.0089,0.0094",0.0114
6,"0.0111,0.0127,0.0109,0.0093,0.0052,0.0043,0.0039,0.003,0,0.0042,0.0042,0.0049,0.0021,0.0042,0.0045,0.0014,0.0028,0.0022,0.0069,0.0104,0.0109,0.0089,0.0094,0.0114",0.0103
7,"0.0127,0.0109,0.0093,0.0052,0.0043,0.0039,0.003,0,0.0042,0.0042,0.0049,0.0021,0.0042,0.0045,0.0014,0.0028,0.0022,0.0069,0.0104,0.0109,0.0089,0.0094,0.0114,0.0103",0.0109
8,"0.0109,0.0093,0.0052,0.0043,0.0039,0.003,0,0.0042,0.0042,0.0049,0.0021,0.0042,0.0045,0.0014,0.0028,0.0022,0.0069,0.0104,0.0109,0.0089,0.0094,0.0114,0.0103,0.0109",0.0078
9,"0.0093,0.0052,0.0043,0.0039,0.003,0,0.0042,0.0042,0.0049,0.0021,0.0042,0.0045,0.0014,0.0028,0.0022,0.0069,0.0104,0.0109,0.0089,0.0094,0.0114,0.0103,0.0109,0.0078",0.0055
10,"0.0052,0.0043,0.0039,0.003,0,0.0042,0.0042,0.0049,0.0021,0.0042,0.0045,0.0014,0.0028,0.0022,0.0069,0.0104,0.0109,0.0089,0.0094,0.0114,0.0103,0.0109,0.0078,0.0055",0.008
11,"0.0043,0.0039,0.003,0,0.0042,0.0042,0.0049,0.0021,0.0042,0.0045,0.0014,0.0028,0.0022,0.0069,0.0104,0.0109,0.0089,0.0094,0.0114,0.0103,0.0109,0.0078,0.0055,0.008",0.0054
